lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.001,1.0,0.01,ascent,2470.8763836361777,9.90089113256727,257.0034473069033,3609.0,1479.0816024068295,0.01,2,1979.2795953661123,6105230.103210995,7.740345120914182,1.8653967571258545
0.001,1.0,0.1,ascent,2729.3348812029285,11.885267389342609,257.0034473077226,3609.0,1501.1994914284162,0.01,3,2279.4010135748526,7449268.893751003,9.55387459145579,2.0860739231109617
0.001,1.0,1.0,ascent,2571.802720973294,9.463094591011256,257.0034473077226,3609.0,1475.208213523339,0.01,2,2106.63949511038,6614169.2356056385,7.420141883929244,2.502465400695801
0.001,1.0,10.0,ascent,2570.038558422435,10.5294737391876,369.642659700216,3609.0,1402.2365458998916,0.01,4,2153.7945262073654,6605098.191778068,8.65950513011545,1.9297338581085206
0.001,2.0,0.01,ascent,2430.067599539491,10.048757869495416,257.00314875360834,3609.0,1368.1061188506408,0.01,5,2008.3610696025407,5905228.538331624,8.03084185267261,1.563464593887329
0.001,2.0,0.1,ascent,2590.7156969214184,9.585903289767915,257.0023233741253,3609.0,1568.2678965266907,0.01,5,2062.1211475077744,6711807.822275031,7.4934404820461396,1.721129722595215
0.001,2.0,1.0,ascent,2858.9693494931325,12.994253679014449,257.0022581787485,3609.0,1414.5186338372218,0.01,3,2484.520633013231,8173705.741341187,10.922978086773151,1.512775468826294
0.001,2.0,10.0,ascent,2365.2245405586236,8.619793966846395,1.2383824082142873e-06,3609.0,1489.3280101684115,1e-06,1,1837.4409392926218,5594287.127260753,6.735241406242543,1.2767670917510987
0.01,0.1,0.01,ascent,1473.6366306962946,9.161772505644523,577.0,3609.0,1008.4764375626913,0.01,9,1074.513933930496,2171604.9193299273,7.284433419304959,1.715977849960327
0.01,0.1,0.1,ascent,1907.4737670494417,9.729454960899078,401.0,3609.0,1238.153783337596,0.01,1,1451.0104688762879,3638456.171981788,7.919199728762879,1.6994379043579102
0.01,0.1,1.0,ascent,1794.4621706836597,7.947349513131909,577.0,3609.0,1113.938648760191,0.01,8,1406.8529307688962,3220094.482014712,5.966645787688959,1.736324987411499
0.01,0.1,10.0,ascent,1277.8757224906271,6.347681995243556,577.0,3601.0,825.6909401332417,0.01,10,975.2952545320959,1632966.3621309423,4.92459222532096,1.4030160617828369
0.01,0.5,0.01,ascent,3081.6781467246055,12.502799686470226,401.0,3609.0,1377.8017599059742,0.01,3,2756.52,9496740.2,11.28,1.5267895698547362
0.01,0.5,0.1,ascent,3337.910873585453,14.449913494550753,401.0,3609.0,983.2725766541035,0.01,1,3189.8,11141649.0,13.52,1.6926307201385498
0.01,0.5,1.0,ascent,2976.1797324758463,12.451505933018705,409.0,3609.0,1266.0218361465966,0.01,4,2693.48,8857645.8,11.6,1.5035423183441161
0.01,0.5,10.0,ascent,3245.070261180796,14.136477637657833,401.0,3609.0,1203.1170184150835,0.01,1,3013.8,10530481.0,13.2,1.8169495677947998
0.01,1.0,0.01,ascent,3308.958657946636,14.713259326199614,409.0,3609.0,1172.0275109399097,0.01,4,3094.44,10949207.4,14.16,1.5491518306732177
0.01,1.0,0.1,ascent,3228.363455374875,12.139192724394814,401.0,3609.0,1280.4853479833341,0.01,4,2963.56,10422330.6,10.96,1.3818762111663818
0.01,1.0,1.0,ascent,3384.7201656857837,13.954210834009922,401.0,3609.0,1039.4512275234467,0.01,1,3221.16,11456330.6,13.2,1.413241081237793
0.01,1.0,10.0,ascent,3459.5645101659834,14.091131963046829,409.0,3609.0,867.0143565132009,0.01,2,3349.16,11968586.6,13.52,1.7087178993225098
0.01,2.0,0.01,ascent,3385.440030483482,14.713259326199614,409.0,3609.0,1038.8199582218278,0.01,3,3222.12,11461204.2,14.16,1.7512285423278808
0.01,2.0,0.1,ascent,3229.515536423381,13.487772240069889,401.0,3609.0,1279.6862015353609,0.01,2,2965.16,10429770.6,12.56,1.4528757190704347
0.01,2.0,1.0,ascent,3533.7297293369793,14.886235252742715,401.0,3609.0,627.9957401129406,0.01,1,3477.48,12487245.8,14.16,1.384875316619873
0.01,2.0,10.0,ascent,3229.9128471214203,13.954210834009926,401.0,3609.0,1279.2057535830584,0.01,1,2965.8,10432337.0,13.2,1.410607976913452
0.05,0.1,0.01,ascent,3025.1983406051245,13.004614565607087,409.0,3609.0,1048.1966227764713,0.01,1,2837.8,9151825.0,11.92,1.2737638282775878
0.05,0.1,0.1,ascent,3273.9223265068463,13.34466185408982,401.0,3609.0,1026.4897731589926,0.01,1,3108.84,10718567.4,12.24,1.4328682327270508
0.05,0.1,1.0,ascent,3352.1982339951196,14.271650219929017,401.0,3609.0,868.2650286634836,0.01,1,3237.8,11237233.0,13.52,1.3394470882415772
0.05,0.1,10.0,ascent,3274.9792365754015,14.316424134538622,401.0,3609.0,1026.9532413893048,0.01,1,3109.8,10725489.0,13.2,1.3424552154541016
0.05,0.5,0.01,ascent,3459.8979464718323,14.405554484295283,409.0,3609.0,867.1087184430796,0.01,2,3349.48,11970893.8,13.84,1.3583599281311036
0.05,0.5,0.1,ascent,3458.52653596875,12.955307792561317,401.0,3609.0,867.8164008590759,0.01,1,3347.88,11961405.8,12.24,1.4181065273284912
0.05,0.5,1.0,ascent,3533.7297293369793,14.886235252742715,401.0,3609.0,627.9957401129406,0.01,1,3477.48,12487245.8,14.16,1.4048914337158203
0.05,0.5,10.0,ascent,3533.4032603143387,14.582180906846546,401.0,3609.0,627.9306764285369,0.01,1,3477.16,12484938.6,13.84,1.4276794910430908
0.05,1.0,0.01,ascent,3385.7042103527,14.756693396557372,401.0,3609.0,1040.6717830324797,0.01,2,3221.8,11462993.0,13.84,1.4633957290649413
0.05,1.0,0.1,ascent,3532.097082470979,13.29661611087573,401.0,3609.0,627.6687228148301,0.01,1,3475.88,12475709.8,12.56,1.4395267391204833
0.05,1.0,1.0,ascent,3605.4821868926215,15.014659503298766,3601.0,3609.0,3.971095566717074,0.01,11,3605.48,12999501.8,14.48,1.5007065868377685
0.05,1.0,10.0,ascent,3533.4032603143387,14.582180906846546,401.0,3609.0,627.9306764285369,0.01,1,3477.16,12484938.6,13.84,1.4791000938415528
0.05,2.0,0.01,ascent,3603.882045794507,13.440238093129153,3601.0,3609.0,3.84,0.01,16,3603.88,12987965.8,12.88,1.5052648639678956
0.05,2.0,0.1,ascent,3606.7617886408857,16.1641578809414,3601.0,3609.0,3.5919910913029836,0.01,7,3606.76,13008730.6,15.76,2.6576814079284667
0.05,2.0,1.0,ascent,3603.882045794507,13.440238093129153,3601.0,3609.0,3.8400000000000003,0.01,16,3603.88,12987965.8,12.88,2.009841003417969
0.05,2.0,10.0,ascent,3383.7358348429034,13.102671483327358,409.0,3609.0,1038.2288425968525,0.01,3,3220.52,11449668.2,12.56,1.584768352508545
0.1,0.1,0.01,ascent,3605.8021299011957,15.310127367203707,3601.0,3609.0,3.919183588453085,0.01,10,3605.8,13001809.0,14.8,1.46985182762146
0.1,0.1,0.1,ascent,3605.4821868926215,15.014659503298766,3601.0,3609.0,3.971095566717074,0.01,11,3605.48,12999501.8,14.48,1.6258642864227295
0.1,0.1,1.0,ascent,3605.4821868926215,15.014659503298766,3601.0,3609.0,3.971095566717074,0.01,11,3605.48,12999501.8,14.48,1.4854301071166993
0.1,0.1,10.0,ascent,3604.8422156871165,14.405554484295283,3601.0,3609.0,3.996798718974975,0.01,13,3604.84,12994887.4,13.84,1.6969938087463379
0.1,0.5,0.01,ascent,3532.1337743635927,13.440238093129153,409.0,3609.0,626.1010781016114,0.01,1,3476.2,12475969.0,12.88,2.1237686920166015
0.1,0.5,0.1,ascent,3533.0767611247848,14.271650219929018,401.0,3609.0,627.8654429095457,0.01,1,3476.84,12482631.4,13.52,1.8291370868682861
0.1,0.5,1.0,ascent,3604.8422156871165,14.405554484295283,3601.0,3609.0,3.996798718974975,0.01,13,3604.84,12994887.4,13.84,1.9114806365966797
0.1,0.5,10.0,ascent,3604.8422156871165,14.405554484295283,3601.0,3609.0,3.996798718974975,0.01,13,3604.84,12994887.4,13.84,1.166479959487915
0.1,1.0,0.01,ascent,3459.527048600719,13.954210834009922,401.0,3609.0,868.1002559612572,0.01,1,3348.84,11968327.4,13.2,0.9793498516082764
0.1,1.0,0.1,ascent,3604.8422156871165,14.405554484295283,3601.0,3609.0,3.996798718974975,0.01,13,3604.84,12994887.4,13.84,1.3083577632904053
0.1,1.0,1.0,ascent,3460.1938963011885,14.582180906846546,401.0,3609.0,868.2888514774332,0.01,1,3349.48,11972941.8,13.839999999999998,1.5904511070251466
0.1,1.0,10.0,ascent,3533.439938643361,14.713259326199614,409.0,3609.0,626.3630333919779,0.01,1,3477.48,12485197.8,14.16,1.1297918701171874
0.1,2.0,0.01,ascent,3603.882045794507,13.440238093129153,3601.0,3609.0,3.84,0.01,16,3603.88,12987965.8,12.88,1.0883037948608398
0.1,2.0,0.1,ascent,3531.770462530089,12.955307792561317,401.0,3609.0,627.6028094264715,0.01,1,3475.56,12473402.6,12.24,1.1319901275634765
0.1,2.0,1.0,ascent,3605.4821868926215,15.014659503298766,3601.0,3609.0,3.971095566717074,0.01,11,3605.48,12999501.8,14.48,1.0004347610473632
0.1,2.0,10.0,ascent,3605.4821868926215,15.014659503298766,3601.0,3609.0,3.971095566717074,0.01,11,3605.48,12999501.8,14.48,1.0439635562896727
