algorithm,lr,sigma,T0,mean,best,worst,std,rmse,mse,rmed,mean_runtime,mean_distance_to_x_star
Hybrid_SA_GD,0.0001,2.0,1.0,-15.751743155325638,-33.397376435276655,5.433592703662834,13.137678206922827,184.71604894802658,34120.01873896975,12.851287451394885,25.138419938087463,
Hybrid_SA_GD,0.0001,2.0,10.0,-20.763702279035453,-53.123293169797186,9.490532050768687,19.18309982752783,180.25992826946077,32493.641739711144,13.365710505247298,10.095277428627014,
Hybrid_SA_GD,0.001,0.1,0.01,-14.440276415347416,-44.89113287143238,4.892554892940293,13.10646478779851,186.02201599823198,34604.190436046476,13.411959338727343,23.39424595832825,
Hybrid_SA_GD,0.001,0.1,0.1,-14.587899047315048,-49.35694035008903,8.732872470760197,16.902161438357997,186.18090729442952,34663.33024097695,13.502145277834938,3.6941185712814333,
Hybrid_SA_GD,0.001,0.1,1.0,-12.513555098541733,-33.12784447905233,27.982822576053888,16.924412296636103,188.24877888946338,35437.60275337407,13.548804496821441,1.1587012529373169,
Hybrid_SA_GD,0.001,0.1,10.0,-12.172782607318767,-25.931209851022015,8.525143294613299,10.982833306221561,188.1480433618957,35399.68622090978,13.554485760101072,0.9223911762237549,
Hybrid_SA_GD,0.001,0.5,0.01,17.63317212758514,-0.30363507317489485,34.763168278712726,13.479506315816145,218.05021142120736,47545.894700833225,12.831749094185989,22.71547758579254,
Hybrid_SA_GD,0.001,0.5,0.1,-14.648636042205592,-30.427925151723016,-2.2717923250567407,8.347441999656418,185.53923549738045,34424.807908952396,13.536383105427937,22.906460428237914,
Hybrid_SA_GD,0.001,0.5,1.0,-9.323729976584922,-25.42741858029681,12.730271146627993,14.23957006323092,191.2072313110254,36560.20530562797,13.807348197979808,1.7182298660278321,
Hybrid_SA_GD,0.001,0.5,10.0,-14.944946061036347,-41.635248224493125,19.549291784481746,18.122322181587354,185.94029028052526,34573.791549606,13.450911275981818,1.0422531604766845,
Hybrid_SA_GD,0.001,1.0,0.01,134.89175044437317,90.80655267156106,173.3226990749595,24.224753823761784,335.7667690726975,112739.32321351818,12.064281912686468,22.836394834518433,
Hybrid_SA_GD,0.001,1.0,0.1,-10.415128005049828,-29.70563221314332,5.160051581367726,10.101147484539451,189.8537776022538,36044.45686984606,13.558095121570396,24.385361647605897,
Hybrid_SA_GD,0.001,1.0,1.0,-11.529134115712386,-22.212536679151167,8.659900031279223,9.133888432010654,188.69206449944193,35604.69520506155,13.332895888291112,8.166300725936889,
Hybrid_SA_GD,0.001,1.0,10.0,-17.350102693040892,-37.35166105816192,1.8522952243522919,12.511900916988186,183.07794146428247,33517.53265079924,13.164364045247964,1.1422008275985718,
Hybrid_SA_GD,0.001,2.0,0.01,203.6507389200831,171.99773165572486,239.7573262410639,23.18809205737275,404.3162210992657,163471.6066439903,11.431873346092681,28.794000220298766,
Hybrid_SA_GD,0.001,2.0,0.1,-10.92683875354694,-24.43392205063921,-0.6548606820549854,6.848362301774607,189.19714683351756,35795.5603699436,13.414621732002708,29.514148712158203,
Hybrid_SA_GD,0.001,2.0,1.0,-15.290036995636322,-45.10213982984542,13.052455139290451,16.349734810545737,185.43215541391027,34385.084261448574,13.070403993976495,29.058610439300537,
Hybrid_SA_GD,0.001,2.0,10.0,-6.016484052653665,-25.178012608633697,20.73637687972566,13.522746038471562,194.4542854238892,37812.469119715366,13.66826519015615,1.518814992904663,
Hybrid_SA_GD,0.01,0.1,0.01,-17.12231875886869,-41.31367311646494,1.7861899128632392,14.626302640511806,183.4616445611035,33658.17502506468,13.305025985875362,29.019322514533997,
Hybrid_SA_GD,0.01,0.1,0.1,-28.49921624657342,-49.65327791244124,-11.452696698553208,12.982277020097197,171.99144846377138,29581.05834466613,13.170874151967448,4.793079400062561,
Hybrid_SA_GD,0.01,0.1,1.0,-11.978033174267868,-26.420230152120993,1.6323195278915206,6.488060237508186,188.13387503228185,35394.354934662246,13.127228634077351,0.17948312759399415,
Hybrid_SA_GD,0.01,0.1,10.0,-8.864204162085757,-25.873479894104104,9.886465076889058,12.07582735460853,191.5168871324175,36678.71805689115,13.440553142337759,0.15174529552459717,
Hybrid_SA_GD,0.01,0.5,0.01,-7.141078169214607,-27.053062375326707,19.26649027261353,12.447066689349867,193.26016971663384,37349.49319890211,13.105013722119054,30.465137934684755,
Hybrid_SA_GD,0.01,0.5,0.1,-16.390266085573828,-45.12098075930579,17.217032404109993,16.04865870655882,184.30977682805107,33970.09383440599,13.435350124552896,34.04500665664673,
Hybrid_SA_GD,0.01,0.5,1.0,-9.629908365480002,-25.45445459359881,4.795214656590652,9.85337934507482,190.6249219631407,36337.86087345348,13.405359675079177,0.7213095188140869,
Hybrid_SA_GD,0.01,0.5,10.0,-11.59598883862266,-37.65561570945243,11.426041953358363,16.101875764684277,189.09082956303757,35755.34182483772,13.578964135323922,0.19799177646636962,
Hybrid_SA_GD,0.01,1.0,0.01,21.630593992846222,-4.441511489563456,70.04886821605912,20.991135646602025,222.6224336614706,49560.747969355885,12.714778385662038,34.73998353481293,
Hybrid_SA_GD,0.01,1.0,0.1,-11.104127858588914,-26.446500496342285,8.04113321620626,9.699643774795458,189.1447424630731,35775.733601422246,13.269521618693686,31.710713481903078,
Hybrid_SA_GD,0.01,1.0,1.0,-18.410791857232397,-29.346041759569744,-9.783015430258214,5.982936942309455,181.6877432530137,33010.43604837303,13.442349483506204,8.854842877388,
Hybrid_SA_GD,0.01,1.0,10.0,-11.898039258407803,-40.7805483338573,4.423036497735294,13.46318639027206,188.58315148127815,35563.605022610696,13.491542090095953,0.2282029867172241,
Hybrid_SA_GD,0.01,2.0,0.01,196.63774056691005,146.72748544441723,225.60668154162525,24.613010918698983,397.4006763312154,157927.29754850743,11.616322573574346,28.53873219490051,
Hybrid_SA_GD,0.01,2.0,0.1,14.09298810886815,-17.30380345015179,65.72467237805986,29.186545950600998,216.073279287168,46687.6620219105,12.626859313606696,27.702791810035706,
Hybrid_SA_GD,0.01,2.0,1.0,-11.430512654582165,-26.959522900131375,5.799394210867355,9.655190610194056,188.81650950971655,35651.67426343288,13.42404451230013,33.673134851455686,
Hybrid_SA_GD,0.01,2.0,10.0,-19.893415281962135,-45.103710535916846,17.47824525294771,19.7797357927262,181.1894583214647,32829.6198068258,13.303423307621095,0.33081636428833006,
Hybrid_SA_GD,0.05,0.1,0.01,-15.509684726211585,-37.35943201448625,-0.70970731593609,12.948204507654719,184.9441332667622,34204.332429793896,13.18965457396719,30.778368997573853,
