algorithm,T0,alpha,step_size,mean,best,worst,std,rmse,mse,mean_runtime,mean_distance_to_x_star
SA_continuous,100,0.99,0.05,-119.92743537525526,-200.0,-39.978375053990405,37.5146567958048,88.42491210112082,7818.965080090944,,
SA_continuous,100,0.99,0.1,-116.63446087984883,-160.0,-79.47215161827229,29.75848139778668,88.51768370159644,7835.380327895871,,
SA_continuous,100,0.99,0.3,-133.48614337420352,-194.9571110700565,-38.63957438259089,35.235546072853865,75.27042467190692,5665.636830289215,,
SA_continuous,100,0.99,0.5,-118.34609219243113,-200.0,-39.556574951007505,35.438202748756005,89.01250965066032,7923.226874308896,,
SA_continuous,100,0.995,0.005,-114.93217754656534,-159.99686121294096,-46.20955482051258,34.145661296912074,91.6649366026755,8402.46060237252,,
SA_continuous,100,0.995,0.01,-114.58356170149472,-159.949383288988,-42.00897546938053,31.388566424037844,91.00115402432321,8281.210033758596,,
SA_continuous,100,0.995,0.05,-108.73733832834347,-160.0,-79.96746572365805,26.51438069531823,95.03623413757255,9031.88579905151,,
SA_continuous,100,0.995,0.1,-116.66375458382467,-160.0,-40.0,31.782823691654603,89.1912421815046,7955.077681879807,,
SA_continuous,100,0.995,0.3,-130.3966681077775,-196.2754640499224,-79.30356954613949,30.49934516159275,75.99232767710733,5774.833865784852,,
SA_continuous,100,0.995,0.5,-134.95603230198245,-160.0,-80.0,22.221261174953003,68.7350142366045,4724.502182106223,,
SA_continuous,100,0.999,0.005,-117.44728723913711,-159.99515556122196,-39.999991595107915,32.125337727268864,88.58322475654528,7846.987708268617,,
SA_continuous,100,0.999,0.01,-116.76883919256481,-160.0,-79.95495845807086,31.81906685331531,89.10599948807535,7939.8791447688845,,
SA_continuous,100,0.999,0.05,-131.11706380182946,-199.77815222564928,-79.99492306578799,26.55695555156044,73.82500110022883,5450.130787448788,,
SA_continuous,100,0.999,0.1,-135.81204686725576,-160.0,-119.254313121866,19.507815889144986,67.08687060920451,4500.648208136147,,
SA_continuous,100,0.999,0.3,-147.96396224130706,-200.0,-118.14971234663872,23.764187938506574,57.20564529835126,3272.4858540007776,,
SA_continuous,100,0.999,0.5,-151.4171558910293,-200.0,-115.16999886644683,21.639981606158717,53.184410738781686,2828.5815456314367,,
