T0,alpha,step_size,mean,best,worst,std,epsilon,near_optimal_count
50,0.95,0.005,1.0640882430958508e-06,8.707388852212721e-08,4.734164594737652e-06,1.2638615519112724e-06,1e-08,1
50,0.95,0.01,3.8279379180764785e-06,4.1494941859920646e-08,2.0321082596731318e-05,4.621734944794608e-06,1e-08,1
50,0.95,0.05,0.00015430883647058364,1.6660410928658064e-06,0.0008739453447283828,0.0001997961100538852,1e-06,1
50,0.95,0.1,0.0002990225881210879,8.943183486181167e-06,0.0012713523673152129,0.0003306825769732862,1e-06,1
50,0.95,0.3,0.002849521934318423,4.905055205703948e-05,0.018382916847205947,0.003886603806738735,1e-05,1
50,0.95,0.5,0.006849391803704284,0.00010047629405414748,0.03111136234303252,0.009085114677075417,0.0001,3
50,0.99,0.005,4.795768587042854e-07,4.148719946108076e-08,1.521421897325034e-06,4.322191461502004e-07,1e-08,1
50,0.99,0.01,3.037967342498583e-06,1.0963321586784648e-07,8.491391551670724e-06,2.3351842888759365e-06,1e-07,1
50,0.99,0.05,6.743164677686369e-05,9.361426193262891e-07,0.0004741297810570776,0.00010211050891808048,1e-07,1
50,0.99,0.1,0.00046969722411019767,1.3613959491855346e-05,0.003895139176186449,0.0008178453571748487,1e-05,1
50,0.99,0.3,0.012713579049541754,1.0660657962008912e-05,0.12882187723914562,0.031036433233885587,1e-05,1
50,0.99,0.5,0.007802173957390331,0.000905281065031252,0.06664506082555802,0.014306414789894022,0.0001,1
50,0.995,0.005,7.650828414485908e-07,4.1305414296595314e-08,3.2346437246698207e-06,8.9084043142885e-07,1e-08,1
50,0.995,0.01,3.771341879056563e-06,5.372158123558276e-07,1.237510879058483e-05,3.4629135198325948e-06,1e-07,1
50,0.995,0.05,6.688000108558447e-05,3.439056538865977e-06,0.00022515431209547867,6.645612052739747e-05,1e-06,1
50,0.995,0.1,0.00024848720201568406,2.787902346851113e-06,0.0009272630902908586,0.0002795932593163741,1e-06,1
50,0.995,0.3,0.0025452342055437803,0.00012684749317957904,0.008250944069185452,0.002213335149523324,0.0001,2
50,0.995,0.5,0.014319876860092748,0.00021270592436041811,0.053298995397558196,0.015084774906515606,0.0001,1
50,0.999,0.005,1.2723093393613004e-06,6.142994642180759e-09,7.386279620779845e-06,1.7794710260047963e-06,1e-09,1
50,0.999,0.01,2.608137258304292e-06,1.7782290570235156e-07,7.541839975963548e-06,2.0935446696513163e-06,1e-07,1
50,0.999,0.05,0.00010905361481283351,2.87459874494284e-06,0.0009722536989584353,0.00020244257559150946,1e-06,1
50,0.999,0.1,0.0002977435302324309,4.057270787477408e-06,0.0019247656436750336,0.00040022315573119753,1e-06,1
50,0.999,0.3,0.004043724005434421,0.0002481825266119071,0.011885254529148822,0.00337523679346728,0.0001,1
50,0.999,0.5,0.007845422304898635,6.749529473265731e-05,0.031399305790219184,0.008762534198745788,1e-05,1
100,0.95,0.005,4.7679944685326386e-07,1.1755311424217084e-08,1.5355939924488804e-06,3.9359521748582103e-07,1e-08,1
100,0.95,0.01,5.301846069218061e-06,8.571980729235949e-08,4.5415338821557526e-05,9.837808851510312e-06,1e-08,1
100,0.95,0.05,9.910433145805635e-05,7.318477062991957e-07,0.00047570511591609664,0.00011309934742313773,1e-07,1
100,0.95,0.1,0.00029257984131801336,2.5905363716830913e-06,0.0009487545258107108,0.000263356188362558,1e-06,1
100,0.95,0.3,0.0026629156434714203,7.557995266031873e-05,0.023076656317266093,0.00496621751322637,1e-05,1
100,0.95,0.5,0.009559611060169967,0.0008659824886472981,0.02927946296369582,0.009173672996709119,0.0001,1
100,0.99,0.005,8.906243909293458e-07,7.380640364531981e-09,2.624580287469869e-06,7.726386977484124e-07,1e-09,1
100,0.99,0.01,2.812302988311037e-06,1.6916552487912326e-07,9.170628585866064e-06,2.413997939511808e-06,1e-07,1
100,0.99,0.05,7.104381259654915e-05,3.1084780976652788e-06,0.00045253609513539703,9.80146474777075e-05,1e-06,1
