T0,alpha,step_size,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
10,0.99,0.3,0.004314494467602818,0.09657574094189003,0.00010161119548983233,0.010277090668740448,0.0027789848139885536,0.0001,1,0.003300319062544761,1.8614862510975325e-05,0.07722118284779589,0.10177921295166016
10,0.99,0.5,0.006285058686610488,0.10622487675293897,0.00021557737009755376,0.014215572591214523,0.0044656850083999375,0.0001,1,0.004422625928098599,3.950196269413795e-05,0.08132886371241652,0.10921496391296387
10,0.995,0.005,4.740027519773719e-06,0.00242289595856569,1.3148652839077635e-07,2.337431781563327e-05,4.4941420481341505e-06,1e-07,7,1.5068338128024525e-06,2.246786088821219e-11,0.0013569840230327165,0.24865564346313476
10,0.995,0.01,5.592640451769847e-06,0.0024805029385182296,2.1550019981202394e-08,2.0477218407467534e-05,4.033416985573589e-06,1e-08,1,3.874167606500641e-06,3.127762722277244e-11,0.0019360547504676576,0.20239436149597168
10,0.995,0.05,0.0001782487356836298,0.009771081366812377,9.343617692500251e-07,0.0006564403523451629,0.0001458397017744108,1e-07,1,0.00010248606324356226,3.177261177281253e-08,0.007084538087805883,0.12472942352294922
10,0.995,0.1,0.0005167597530093973,0.02012503333812207,2.2896983717747965e-05,0.00117620136820021,0.00033508236206276595,1e-05,1,0.00039339605102843984,2.6704064233033336e-07,0.01638946163432474,0.09457201957702636
10,0.995,0.3,0.004203938686583689,0.058827170910291736,0.0002668154942836379,0.012989681502536266,0.0027995439812226906,0.0001,1,0.0031361846211208294,1.7673100480554993e-05,0.05049137154478291,0.10734807014465332
10,0.995,0.5,0.011517366613241252,0.1091444510663118,8.644927394169532e-05,0.034867245973143876,0.009070227031012044,1e-05,1,0.007097937398265974,0.0001326497337038043,0.07758415968820101,0.0709146499633789
10,0.999,0.005,1.0681180134202886e-06,0.0006292939808068947,2.040869547023183e-08,3.0351573207877973e-06,7.634598066662821e-07,1e-08,1,7.469974659916773e-07,1.140876090592904e-12,0.0004921561344295751,0.4944992828369141
10,0.999,0.01,3.447289771851944e-06,0.0011686355365409973,2.2762234750894153e-07,7.214376371842207e-06,2.0879495302223816e-06,1e-07,2,2.7430409275763942e-06,1.1883806771115028e-11,0.0009062184249402746,0.6122386741638184
10,0.999,0.05,0.00016559389386040975,0.005674408481769856,2.3255891262572e-07,0.0006336715188983675,0.00012742131770573795,1e-07,1,0.00010575984813711694,2.7421337683852645e-08,0.004162563467760629,0.685126600265503
10,0.999,0.1,0.0004391538783379065,0.010338474861017554,2.681630204372785e-05,0.0012756163997136262,0.0002813154581718543,1e-05,1,0.0003372206130306752,1.9285612885922477e-07,0.007672897852212676,0.6798208141326905
10,0.999,0.3,0.011132229119975781,0.039664925447802875,8.810132164538048e-05,0.04227636524001973,0.009339026167990825,1e-05,1,0.006058804784214408,0.00012392652517963676,0.034435350970268605,0.26966376304626466
10,0.999,0.5,0.010609164988720604,0.03309995548436069,0.0009238216274954452,0.035958594641543155,0.008061018793725202,0.0001,1,0.00689741674578999,0.00011255438175789508,0.02467709269274243,0.23734236717224122
50,0.9,0.005,1.047557445003591e-06,0.001312535123871549,1.5607277608986776e-08,4.625919761359301e-06,8.890925048216046e-07,1e-08,2,5.539775432745416e-07,1.0973766005824518e-12,0.00089189209072982,0.16653605461120605
50,0.9,0.01,4.888983701993804e-06,0.003090546891509408,3.362886556184903e-07,1.682403221411927e-05,3.704013967746466e-06,1e-07,2,3.19099391492684e-06,2.390216163836104e-11,0.00247175985835323,0.15126290321350097
50,0.9,0.05,9.31644599726828e-05,0.010124739574646933,1.9333701253163837e-06,0.0002997563307939928,7.153544990315801e-05,1e-06,1,5.9684973059844695e-05,8.679616602001617e-09,0.00878115875172794,0.08118186950683594
50,0.9,0.1,0.00046099091030723686,0.020579700832835057,1.1343776545600511e-06,0.0013140539482875383,0.0003693473603573942,1e-06,1,0.00027585348789333826,2.125126193858949e-07,0.016483397229952613,0.07492147445678711
50,0.9,0.3,0.003109355750546777,0.07815860588659342,0.000331841071164375,0.010967708877683311,0.0022480383279929596,0.0001,2,0.002148119377346829,9.668093183458311e-06,0.05826120202434436,0.03871006965637207
50,0.9,0.5,0.01016702780010008,0.12243574020496606,0.00018500179778891104,0.03849863002967551,0.007695565753548445,0.0001,1,0.0066442999646930635,0.00010336845428800788,0.0870354108104657,0.062334356307983396
50,0.95,0.005,1.7324496757802268e-06,0.0019099734147405138,4.486351640000502e-09,5.373700066706167e-06,1.3647749342790414e-06,1e-09,1,1.067132258848289e-06,3.001381879111013e-12,0.0014042383316899521,0.13004535675048828
50,0.95,0.01,3.3908849452179457e-06,0.0028262926904293424,4.824133283901842e-07,1.0695796906388242e-05,2.3048584046179042e-06,1e-07,2,2.4871124715959113e-06,1.149810071170571e-11,0.00237813422187383,0.10030853271484375
50,0.95,0.05,0.00014234208293418963,0.016070052221965333,1.089016457995652e-06,0.0003293663355469306,0.00010555254528943765,1e-06,1,9.549831808448216e-05,2.0261268574043716e-08,0.012279766671356915,0.07991174697875976
50,0.95,0.1,0.0006720260665679447,0.03820752995026805,5.151025107739445e-05,0.0015723764408659179,0.000439187898815168,1e-05,1,0.0005086580616495735,4.516190341467836e-07,0.03277185897917858,0.0485372257232666
50,0.95,0.3,0.005342920620847219,0.09077409744167968,0.00012599554618535704,0.022971245508780797,0.004420586982972887,0.0001,4,0.0030008684554050525,2.854680076067443e-05,0.0751981031920507,0.054912681579589846
50,0.95,0.5,0.03073592368971102,0.1381953987645072,5.753750567628272e-05,0.13055473535584702,0.028358540631558064,1e-05,1,0.011852855280817748,0.000944697005059739,0.08745738838588948,0.05292471885681152
50,0.99,0.005,1.046839502785249e-06,0.001550827743731401,5.061600147134342e-08,2.1432342419185794e-06,6.241399882993915e-07,1e-08,2,8.404297826691428e-07,1.095872944591667e-12,0.0013008026575780515,0.16437101364135742
50,0.99,0.01,4.407081728498983e-06,0.002148216384509402,7.99948096318885e-08,1.8722192462096724e-05,3.7361031117937673e-06,1e-08,2,2.3374992833612813e-06,1.9422369361669585e-11,0.0016685342268908329,0.1459292697906494
50,0.99,0.05,0.00031203245620006775,0.0206554862658645,3.7020618323323983e-06,0.001265659862741205,0.00026687368776508186,1e-06,2,0.0001616870078296732,9.736425372224721e-08,0.013434869685783012,0.11421337127685546
50,0.99,0.1,0.001095469698867527,0.043464214072769757,1.2073990030266961e-05,0.004434553299101388,0.0009578007424712098,1e-05,2,0.0005316686927575383,1.2000538611369104e-06,0.02991128858593347,0.09292397499084473
50,0.99,0.3,0.003152530734565716,0.05849412675171045,0.00010133465754172573,0.01016224617517347,0.002293308836938376,0.0001,4,0.002163142300173941,9.938450032381454e-06,0.045545798696530394,0.09932793617248535
50,0.99,0.5,0.008393019300465328,0.1009885198483115,0.0004787364810469619,0.02316157674066646,0.005798602558301871,0.0001,1,0.006067864644900914,7.04427729779835e-05,0.08422038163906805,0.0974792194366455
50,0.995,0.005,9.460767141113429e-07,0.001300404160982334,2.094610079942826e-08,3.148938454024686e-06,6.888179355634036e-07,1e-08,1,6.485298764358405e-07,8.950611489837155e-13,0.0010234634041580801,0.29055462837219237
50,0.995,0.01,1.0715509905802018e-05,0.0031962227700332575,3.303906952835783e-07,4.611857508956387e-05,9.301721034280147e-06,1e-07,2,5.319787433889768e-06,1.1482215254134119e-10,0.002489979936796829,0.1990629577636719
50,0.995,0.05,0.0001204509298760153,0.009089637767355154,6.1643968856585e-06,0.00048063591828251885,9.28655743571922e-05,1e-06,1,7.670991857188716e-05,1.4508426507996754e-08,0.006420625536989261,0.24360100746154786
50,0.995,0.1,0.0006472990089525767,0.017562648827003362,6.432237837486498e-06,0.002531468250016447,0.0005406924765171336,1e-06,1,0.0003558758952623185,4.1899600699098794e-07,0.013817931094220089,0.17458590507507324
50,0.995,0.3,0.00534176845847342,0.07307315789587782,0.00015628348573734676,0.01307922807044357,0.0035976616006812416,0.0001,2,0.0039485847174557595,2.8534490263941496e-05,0.055350950463252425,0.1007314682006836
50,0.995,0.5,0.008882993252040129,0.08324063090798359,0.00034086817628336977,0.02545910160560243,0.006328555572008946,0.0001,1,0.006233534590245326,7.890756911579047e-05,0.05991166397066139,0.13168593406677245
50,0.999,0.005,1.057351044398181e-06,0.0006264183187405244,1.1213359226742871e-09,3.1036038388880056e-06,7.540313619933878e-07,1e-09,1,7.412340630464311e-07,1.117991231089924e-12,0.0005129059214803205,0.7917663192749024
50,0.999,0.01,3.1198308891375127e-06,0.0010549889458297047,1.6866303768253754e-07,8.143459373378576e-06,2.0427015391973054e-06,1e-07,1,2.3581168755126458e-06,9.733344776816564e-12,0.0008349222037568118,0.7489766788482666
50,0.999,0.05,0.00010133149834569407,0.007020241001058522,3.93050095655979e-06,0.00032516418215657934,7.391317611046964e-05,1e-06,1,6.931749385433736e-05,1.02680725569834e-08,0.005024443488164047,0.4825999164581299
50,0.999,0.1,0.0010399481517728369,0.016357760227131823,2.8548387996447147e-05,0.004523235084614145,0.0008874928461559318,1e-05,1,0.0005420780445634957,1.0814921583757394e-06,0.012806903955399294,0.5422046852111816
50,0.999,0.3,0.002073936423014139,0.024299483872736703,0.000170295525413335,0.004710040638053639,0.001225265159068713,0.0001,3,0.0016733014004288059,4.301212286704682e-06,0.019637565691091655,0.2957335662841797
50,0.999,0.5,0.013240156820035555,0.0499849979707725,4.487192697819909e-05,0.030710092235580938,0.008569713222761573,1e-05,1,0.010092659109410138,0.00017530175261913403,0.03983660939977299,0.25133843421936036
100,0.9,0.005,1.0693542315736613e-06,0.0012632918039459133,1.1897471359853717e-08,3.5943342424350293e-06,8.525344243968211e-07,1e-08,2,6.455257762497769e-07,1.1435184725844958e-12,0.0009361194007479935,0.10866459846496582
100,0.9,0.01,3.887948353951163e-06,0.0028911558452780805,2.2303399364254764e-07,8.052643371273415e-06,2.3348296972300416e-06,1e-07,1,3.1088121023831954e-06,1.5116142402991555e-11,0.0023165973525284943,0.11952796936035157
100,0.9,0.05,8.727123557149391e-05,0.012638032106073591,6.3219853821295125e-06,0.0002563533813436876,5.9108064648751695e-05,1e-06,2,6.420673836642206e-05,7.616268558175184e-09,0.010353352700558068,0.06326448440551757
100,0.9,0.1,0.00038997481421792856,0.024233323105344283,5.996573749588175e-08,0.0009304085388069535,0.00026084484030357806,1e-08,1,0.00028989709383039485,1.520803557243079e-07,0.019049966124918084,0.04961243629455567
100,0.9,0.3,0.003939634376967337,0.08139877635000299,4.033843765948338e-05,0.010168602295840873,0.002969548028889705,1e-05,1,0.002588919374623336,1.552071902418282e-05,0.06231912837619882,0.051915979385375975
